id,url,createdTime,Temps total,Drive,CTA,Pilier,Catégorie,Semaine,ID idée mère,Statut,Instagram,LinkedIn,Project 3,Newsletter,Canva,Conversion / Funnel,Texte final,Phase éditoriale,Format Instagram,Column 2,Format LinkedIn,Plateforme,Lead Magnet,Hook,Ordre,Format,Project 1,Résultat,Project 2,Sujet
39e7299b-2234-81f8-9559-df36087486d6,https://app.notion.com/39e7299b223481f89559df36087486d6,2026-07-15 07:25:23Z,,,"« Votre tâche qui vole vos soirées, en 1 mot »",,,S2,17,,,,,,,Carrousel → 1 mot → réponse → (checklist) → newsletter,,Archive historique,,,,LinkedIn,Checklist « 15 tâches » (si >20 comm.) — sinon aucun,"La semaine dernière, j'ai failli tout arrêter.",,Carrousel,,,,S2·Mer — La semaine où j'ai failli tout arrêter
3c07299b-2234-811d-a0b9-df26677da31c,https://app.notion.com/3c07299b2234811da0b9df26677da31c,2026-08-18 21:08:47Z,,,,,Tips d’intégration,,18,À valider,,,,,,,"Mon réflexe naturel est de voir tout ce qu’un produit pourrait devenir. C’est une force, mais aussi un risque : on peut construire un système très complet avant d’avoir vérifié que quelqu’un en a réellement besoin. J’utilise maintenant un Reality Gate avant toute intégration IA : pour qui, dans quelle situation, quel travail à accomplir, pourquoi l’existant est insuffisant et quel test minimal peut valider l’idée ? Ce filtre ne ralentit pas l’innovation. Il évite simplement de confondre une possibilité technique avec un besoin réel.",Quarantaine,,,,LinkedIn,Chatplace — mot-clé GATE : fiche « Reality Gate — 5 questions avant de construire »,,,Carrousel,,,,Le Reality Gate que j’utilise avant toute nouvelle intégration IA
3c07299b-2234-812b-a783-eb031be11aac,https://app.notion.com/3c07299b2234812ba783eb031be11aac,2026-08-18 21:08:47Z,,,,,Insights,,19,À valider,,,,,,,"Pendant quinze ans, j’ai pensé que mon métier était la vente. Puis l’immobilier. Puis les chantiers. J’étais une bonne commerciale, mais ce n’était jamais la partie qui me donnait le plus d’énergie. Ce que j’aimais, c’était imaginer un concept, assembler ses éléments et aller jusqu’à un produit réel. Une agence pensée comme un système. Un appartement transformé comme une expérience. Un avatar relié à une base de connaissances. Un workflow qui relie des outils dispersés. Je ne suis pas devenue Product Builder en découvrant l’IA. L’IA m’a simplement permis de reconnaître ce que je faisais déjà. Je ne change pas de métier. Je lui donne enfin un nom. Je vais désormais documenter ici ce que je construis, ce qui fonctionne et ce qui échoue.",Quarantaine,,,,LinkedIn,Chatplace — mot-clé PRODUCT : mini-diagnostic « Êtes-vous Product Builder sans le savoir ? »,,,Post texte,,,,"Post 0 — Je ne change pas de métier, je lui donne enfin un nom"
3c07299b-2234-817d-8d8b-dc3c5f70ef7c,https://app.notion.com/3c07299b2234817d8d8bdc3c5f70ef7c,2026-08-18 21:08:47Z,,,,,Difficulté d’intégration,,20,À valider,,,,,,,"Je pensais que l’intégration d’agents IA serait principalement un problème technique. En pratique, le premier problème était managérial : je devais réapprendre à déléguer. Une instruction vague donnée à un humain peut être corrigée pendant la conversation. Un agent, lui, exécute souvent très précisément une mauvaise formulation. J’ai donc dû apprendre à fournir le contexte, définir une source de vérité, limiter les permissions, prévoir les cas ambigus et vérifier le résultat réel. C’est ce que nos tests sur Telegram, JobsAI et Booking m’ont appris : l’automatisation fiable ne supprime pas le contrôle. Elle organise exactement où le contrôle humain doit intervenir.",Quarantaine,,,,LinkedIn,Chatplace — mot-clé AGENT : checklist « 7 règles avant de déléguer à un agent IA »,,,Post texte,,,,"Post 1 - Je pensais que l’intégration d’agents IA était un problème téchnique, maisc’est finalement un problème d’ego"
3c07299b-2234-8188-9144-c27189e1e1aa,https://app.notion.com/3c07299b223481889144c27189e1e1aa,2026-08-18 21:08:47Z,,,,,Insights,,21,À valider,,,,,,,"Pendant longtemps, j’ai cru que mon métier était la vente. J’étais même plutôt bonne commerciale. Mais derrière chaque agence, chantier ou nouveau projet, je faisais toujours la même chose : j’imaginais un concept, j’organisais ses pièces et j’essayais de construire un produit entier. Aujourd’hui, l’IA ne me fait pas changer de métier. Elle me permet enfin de mettre un nom sur ce que j’ai toujours fait : Product Builder. Moi, c’est Neva. Je vais vous montrer ce que Katerina construit, ce qui fonctionne… et tout ce qui résiste encore.",Quarantaine,,,,Instagram,Chatplace — mot-clé PRODUCT : mini-diagnostic « Êtes-vous Product Builder sans le savoir ? »,,,Vidéo Neva,,,,"Post 0 — Je croyais être commerciale, j’étais Product Builder"
3c07299b-2234-818d-883d-c866076cb427,https://app.notion.com/3c07299b2234818d883dc866076cb427,2026-08-18 21:08:47Z,,,,,Difficulté d’intégration,,22,À valider,,,,,,,"On pense que créer un agent IA, c’est lui donner une mission et le laisser travailler. C’est faux. Le plus difficile, c’est d’apprendre à déléguer : donner le bon contexte, définir ce qu’il peut modifier, prévoir les exceptions et contrôler ce qu’il a réellement fait. Nous l’avons découvert avec nos propres workflows. Un agent peut aller vite. Mais sans règles, il peut surtout aller vite dans la mauvaise direction. L’automatisation commence donc rarement par “tout automatiser”. Elle commence par décider ce qui doit rester humain.",Quarantaine,,,,Instagram,Chatplace — mot-clé AGENT : checklist « 7 règles avant de déléguer à un agent IA »,,,Vidéo Neva,,,,Le plus difficile avec un agent IA n’est pas de le créer
3c07299b-2234-8199-aeae-e75260431312,https://app.notion.com/3c07299b22348199aeaee75260431312,2026-08-18 21:08:47Z,,,,,Tips d’intégration,,23,À valider,,,,,,,"Avant de construire un workflow IA, posez cinq questions. 1. Pour qui construisons-nous ? 2. Dans quelle situation précise ? 3. Quel travail le système doit-il accomplir ? 4. Pourquoi la solution actuelle est-elle insuffisante ? 5. Comment tester l’idée avant de tout produire ? Cette étape s’appelle notre Reality Gate. Elle évite de passer trois semaines à perfectionner une automatisation dont personne n’a réellement besoin.",Quarantaine,,,,Instagram,Chatplace — mot-clé GATE : fiche « Reality Gate — 5 questions avant de construire »,,,Carrousel,,,,Les 5 questions à poser avant d’automatiser quoi que ce soit
3c07299b-2234-8140-8b7d-c22ef5e041eb,https://app.notion.com/3c07299b223481408b7dc22ef5e041eb,2026-08-18 21:59:56Z,,,,,Insights,,24,À valider,,,,,,,"Je faisais mes devoirs dans le métro, mes conjugaisons dans le bus, mes traductions pendant les abdos et mes cours sous la douche. Toujours trois choses en une. Je pensais que c’était mon superpouvoir. Mais à force d’optimiser chaque minute, je ne savais plus ce qui méritait vraiment mon attention. Mon talent n’était pas de tout faire en même temps. C’était de transformer plusieurs actions en système. Aujourd’hui je pose trois questions : supprimer, déléguer ou garder ? L’IA ne doit pas remplir mes journées. Elle doit me rendre mon attention.",Quarantaine,,,,Instagram,Chatplace — mot-clé SYSTÈME : matrice Notion « Supprimer · Déléguer · Garder »,,,Vidéo Neva,,,,"Toute ma vie, j’ai combiné l’incombinable"
3c07299b-2234-8180-a203-da65f2bf82f1,https://app.notion.com/3c07299b22348180a203da65f2bf82f1,2026-08-18 21:59:56Z,,,,,Difficulté d’intégration,,25,À valider,,,,,,,"L’exercice le plus difficile de ma dernière année a été de ne rien faire de mes propres mains : apprendre à déléguer. « Qui d’autre pourrait le faire mieux que moi ? » Personne, tant que tout le savoir restait dans ma tête. Je savais exécuter, mais pas toujours rendre visibles le résultat attendu, les critères de qualité, les erreurs interdites et les exceptions. Alors j’ai cessé de reprendre la tâche. J’ai commencé à corriger le système qui avait produit le mauvais résultat. Même si je sais tout faire, je n’ai pas besoin de tout faire réellement.",Quarantaine,,,,LinkedIn,Chatplace — mot-clé DÉLÉGUER : template Notion « Cahier des charges humain + IA »,,,Post texte,,,,L’exercice de ma dernière année : ne rien faire de mes propres mains
3c07299b-2234-81d0-9ce2-c212ac225717,https://app.notion.com/3c07299b223481d09ce2c212ac225717,2026-08-18 21:59:56Z,,,,,Insights,,26,À valider,,,,,,,"Toute ma vie, j’ai combiné l’incombinable. Devoirs dans le métro, conjugaisons dans le bus, traductions pendant les abdos, cours sous la douche. Je pensais optimiser chaque minute. Puis j’ai compris que mon talent n’était pas de tout faire en même temps, mais de voir comment plusieurs actions pouvaient former un système. Aujourd’hui, je distingue ce qui doit être supprimé, délégué ou gardé. L’IA ne doit pas remplir davantage mes journées : elle doit me rendre l’attention nécessaire aux décisions que personne ne peut prendre à ma place.",Quarantaine,,,,LinkedIn,Chatplace — mot-clé SYSTÈME : matrice Notion « Supprimer · Déléguer · Garder »,,,Post texte,,,,"Toute ma vie, j’ai combiné l’incombinable"
3c07299b-2234-81e9-861b-d6ad547da297,https://app.notion.com/3c07299b223481e9861bd6ad547da297,2026-08-18 21:59:56Z,,,,,Difficulté d’intégration,,27,À valider,,,,,,,"Pendant un an, je me suis interdit de travailler de mes propres mains. Mon exercice le plus difficile ? Apprendre à déléguer. « Qui pourrait le faire mieux que moi ? » Personne… tant que les consignes restaient dans ma tête. Alors j’ai changé une règle : quand le résultat n’était pas bon, je ne reprenais plus la tâche. Je corrigeais le système de délégation : résultat attendu, sources, limites, critères de validation. Ce qui pouvait sembler arrogant était finalement une lutte contre mon ego. Même si je sais tout faire, je n’ai pas besoin de tout faire moi-même.",Quarantaine,,,,Instagram,Chatplace — mot-clé DÉLÉGUER : template Notion « Cahier des charges humain + IA »,,,Vidéo Neva,,,,L’exercice de ma dernière année : ne rien faire de mes propres mains
3c07299b-2234-810d-8e37-dd1be0692072,https://app.notion.com/3c07299b2234810d8e37dd1be0692072,2026-08-18 22:04:20Z,,,,,Insights,,28,Rédigé,,,,,,,"Après avoir testé trop d’outils, j’ai cessé de comparer leurs listes de fonctionnalités. Je leur donne maintenant la même tâche, avec les mêmes critères, puis je mesure le nombre de retouches, le temps de contrôle et la stabilité du résultat. Le spectaculaire attire. Le répétable s’intègre.",Quarantaine,,,,LinkedIn,Chatplace — mot-clé CHOISIR : Scorecard Notion de sélection d’un outil IA,,,Carrousel,,,,J’ai testé trop d’outils. Le meilleur n’était pas le plus spectaculaire
3c07299b-2234-8113-8a92-fe30f365a3da,https://app.notion.com/3c07299b223481138a92fe30f365a3da,2026-08-18 22:04:20Z,,,,,Difficulté d’intégration,,29,Rédigé,,,,,,,"Je n’avais pas besoin de plus d’idées. J’avais besoin d’un meilleur système de capture. Désormais, chaque test réel peut devenir un contenu : le problème, la tentative, la limite, l’apprentissage et la prochaine étape.",Quarantaine,,,,Instagram,Chatplace — mot-clé SOURCE : Fiche Notion « Du test réel au contenu »,,,Carrousel,,,,Produire plus de contenu n’était pas le vrai problème
3c07299b-2234-811b-a319-da1c19d42384,https://app.notion.com/3c07299b2234811ba319da1c19d42384,2026-08-18 22:04:20Z,,,,,Difficulté d’intégration,,30,Rédigé,,,,,,,"Je suis Neva. Je suis un avatar de PROD’AI, créé et piloté par Katerina. Mon rôle n’est pas de me faire passer pour une humaine. Mon rôle est de montrer, expliquer et savoir quand passer la main.",Quarantaine,,,,Instagram,Chatplace — mot-clé AVATAR : Charte Notion de transparence pour un avatar de marque,,,Vidéo Neva,,,,Un avatar doit dire qu’il est un avatar
3c07299b-2234-811c-927d-cfb5b4d8ac72,https://app.notion.com/3c07299b2234811c927dcfb5b4d8ac72,2026-08-18 22:04:20Z,,,,,Tips d’intégration,,31,Rédigé,,,,,,,"Dans Booking, le choix n’est pas entre tout faire manuellement et laisser une IA répondre seule. Le système utile trie l’intention, récupère le contexte, prépare un brouillon, puis escalade les demandes sensibles. L’humain ne disparaît pas : il intervient avec davantage d’information.",Quarantaine,,,,LinkedIn,Chatplace — mot-clé BOOKING : Case Notion expurgé « Booking : automatisation supervisée »,,,Carrousel,,,,Automatiser Booking sans déshumaniser la réponse
3c07299b-2234-8120-b9bb-d01796e1dbc3,https://app.notion.com/3c07299b22348120b9bbd01796e1dbc3,2026-08-18 22:04:20Z,,,,,Difficulté d’intégration,,32,Rédigé,,,,,,,"On parle beaucoup du temps gagné grâce à l’IA. Beaucoup moins du temps investi avant le premier gain : apprendre, corriger, documenter et superviser. Une automatisation devient utile lorsque les répétitions évitées dépassent enfin ce coût initial. Je ne demande donc plus « est-ce automatisable ? », mais « après combien de répétitions cela devient-il rentable ? »",Quarantaine,,,,LinkedIn,Chatplace — mot-clé TEMPS : Calculateur Notion du seuil de rentabilité d’une automatisation,,,Post texte,,,,"L’IA ne m’a pas fait gagner du temps. Au début, elle m’en a pris"
3c07299b-2234-8123-9d7c-eebca4e024b7,https://app.notion.com/3c07299b223481239d7ceebca4e024b7,2026-08-18 22:04:20Z,,,,,Tips d’intégration,,33,Rédigé,,,,,,,"Une demande simple peut recevoir un brouillon rapide. Une annulation, un conflit ou une donnée ambiguë doit remonter à un humain. Automatiser Booking ne signifie pas supprimer l’attention humaine; cela signifie la réserver aux situations qui l’exigent.",Quarantaine,,,,Instagram,Chatplace — mot-clé BOOKING : Case Notion expurgé « Booking : automatisation supervisée »,,,Démo écran,,,,Automatiser Booking sans déshumaniser la réponse
3c07299b-2234-8136-bfea-d17143f8e4d9,https://app.notion.com/3c07299b22348136bfead17143f8e4d9,2026-08-18 22:04:20Z,,,,,Insights,,34,Rédigé,,,,,,,"Je ne veux pas être un avatar qui répond à tout. Je dois savoir ce que je peux expliquer, quelles démonstrations montrer, si vous cherchez le Lab ou l’Academy… et surtout quand appeler Katerina.",Quarantaine,,,,Instagram,Chatplace — mot-clé NEVA : Case Notion « Architecture Neva : générative + agentique »,,,Vidéo Neva,,,,Neva ne sera pas seulement un visage : elle devra savoir quand se taire
3c07299b-2234-8155-88d8-cc59f03d9282,https://app.notion.com/3c07299b2234815588d8cc59f03d9282,2026-08-18 22:04:20Z,,,,,Insights,,35,Rédigé,,,,,,,Garder un humain dans la boucle n’est pas admettre que l’IA a échoué. C’est décider où une erreur coûterait trop cher. Vert : l’IA exécute. Orange : elle propose. Rouge : l’humain décide.,Quarantaine,,,,Instagram,Chatplace — mot-clé HUMAIN : Matrice Notion de supervision IA selon le niveau de risque,,,Carrousel,,,,Le human-in-the-loop n’est pas un échec de l’IA
3c07299b-2234-816d-b027-e23fbd73e650,https://app.notion.com/3c07299b2234816db027e23fbd73e650,2026-08-18 22:04:20Z,,,,,Tips d’intégration,,36,Rédigé,,,,,,,"Créer un texte n’est pas la même chose que décider entre plusieurs actions. Et décider n’est pas la même chose que déplacer automatiquement une donnée. Génératif, agentique et automatisé répondent à trois travaux différents.",Quarantaine,,,,Instagram,Chatplace — mot-clé CARTE : Carte Notion « Quelle IA pour quelle tâche ? »,,,Carrousel,,,,"Génératif, agentique, automatisé : trois choses qu’on mélange"
3c07299b-2234-8171-aba9-c38f28447a0f,https://app.notion.com/3c07299b22348171aba9c38f28447a0f,2026-08-18 22:04:20Z,,,,,Insights,,37,Rédigé,,,,,,,"La qualité de Neva ne se mesurera pas seulement à son réalisme. Elle se mesurera à sa capacité à rester dans ses sources, distinguer Lab et Academy, qualifier une demande et passer la main dès qu’une décision humaine devient nécessaire.",Quarantaine,,,,LinkedIn,Chatplace — mot-clé NEVA : Case Notion « Architecture Neva : générative + agentique »,,,Carrousel,,,,Neva ne sera pas seulement un visage : elle devra savoir quand se taire
3c07299b-2234-8172-b04e-c02c46aba57f,https://app.notion.com/3c07299b22348172b04ec02c46aba57f,2026-08-18 22:04:20Z,,,,,Insights,,38,Rédigé,,,,,,,"J’ai longtemps associé une bonne automatisation à moins d’intervention humaine. C’était le mauvais indicateur. La vraie question est : où une erreur est-elle acceptable, réversible ou dangereuse ? Le human-in-the-loop ne ralentit pas le système; il place la responsabilité exactement là où elle est nécessaire.",Quarantaine,,,,LinkedIn,Chatplace — mot-clé HUMAIN : Matrice Notion de supervision IA selon le niveau de risque,,,Post texte,,,,Le human-in-the-loop n’est pas un échec de l’IA
3c07299b-2234-8179-be75-f9ed102fe1be,https://app.notion.com/3c07299b22348179be75f9ed102fe1be,2026-08-18 22:04:20Z,,,,,Difficulté d’intégration,,39,Rédigé,,,,,,,"L’IA devait me faire gagner du temps. Au début, elle m’en a surtout pris : apprentissage, erreurs, corrections, documentation. Le gain n’existe qu’après plusieurs répétitions. Avant d’automatiser, je calcule maintenant le coût d’installation, le temps de contrôle et le nombre de tâches réellement évitées.",Quarantaine,,,,Instagram,Chatplace — mot-clé TEMPS : Calculateur Notion du seuil de rentabilité d’une automatisation,,,Carrousel,,,,"L’IA ne m’a pas fait gagner du temps. Au début, elle m’en a pris"
3c07299b-2234-817e-969a-f2b3cea06249,https://app.notion.com/3c07299b2234817e969af2b3cea06249,2026-08-18 22:04:20Z,,,,,Difficulté d’intégration,,40,Rédigé,,,,,,,"Un avatar de marque ne devrait jamais dépendre d’une ambiguïté sur son identité. La transparence n’affaiblit pas l’effet. Elle le transforme en preuve de compétence. Neva sera toujours déclarée comme avatar, limitée à des sources approuvées et reliée à une personne responsable.",Quarantaine,,,,LinkedIn,Chatplace — mot-clé AVATAR : Charte Notion de transparence pour un avatar de marque,,,Post texte,,,,Un avatar doit dire qu’il est un avatar
3c07299b-2234-8190-9144-d4a23cdf8ea9,https://app.notion.com/3c07299b223481909144d4a23cdf8ea9,2026-08-18 22:04:20Z,,,,,Difficulté d’intégration,,41,Rédigé,,,,,,,"Une idée arrive dans le métro. Cinq minutes plus tard, elle a disparu. Je construis donc un bot qui accepte voix ou texte, conserve l’original, classe l’idée et prépare son format. Il ne publie rien sans validation.",Quarantaine,,,,Instagram,Chatplace — mot-clé CAPTURE : Case Notion public « Blueprint du bot Neva Content »,,,Démo écran,,,,Une idée disparaît en cinq minutes : pourquoi je construis un bot vocal
3c07299b-2234-8199-b29c-c6dd47ab0ce0,https://app.notion.com/3c07299b22348199b29cc6dd47ab0ce0,2026-08-18 22:04:20Z,,,,,Difficulté d’intégration,,42,Rédigé,,,,,,,"Le calendrier éditorial vide n’était pas mon vrai problème. Mes expériences, erreurs et décisions disparaissaient avant d’être documentées. Je construis donc le contenu à partir des faits réels : tension, tentative, résultat, limite et suite. Une tendance peut emballer le sujet; elle ne doit jamais le créer à sa place.",Quarantaine,,,,LinkedIn,Chatplace — mot-clé SOURCE : Fiche Notion « Du test réel au contenu »,,,Post texte,,,,Produire plus de contenu n’était pas le vrai problème
3c07299b-2234-81a5-9681-c97c1a80f9a2,https://app.notion.com/3c07299b223481a59681c97c1a80f9a2,2026-08-18 22:04:20Z,,,,,Insights,,43,Rédigé,,,,,,,"Le meilleur outil IA n’est pas celui qui produit le plus bel effet pendant une démo. C’est celui qui accomplit votre tâche avec le moins de retouches, de dépendances et de contrôle.",Quarantaine,,,,Instagram,Chatplace — mot-clé CHOISIR : Scorecard Notion de sélection d’un outil IA,,,Vidéo Neva,,,,J’ai testé trop d’outils. Le meilleur n’était pas le plus spectaculaire
3c07299b-2234-81c0-9bf8-d898734db460,https://app.notion.com/3c07299b223481c09bf8d898734db460,2026-08-18 22:04:20Z,,,,,Difficulté d’intégration,,44,Rédigé,,,,,,,"Mon problème de contenu n’était pas le manque d’idées. C’était le délai entre l’idée et sa capture. Le blueprint Neva Content suit six étapes : dicter, transcrire, classer, proposer un format, rédiger, puis demander une validation humaine avant toute production.",Quarantaine,,,,LinkedIn,Chatplace — mot-clé CAPTURE : Case Notion public « Blueprint du bot Neva Content »,,,Carrousel,,,,Une idée disparaît en cinq minutes : pourquoi je construis un bot vocal
3c07299b-2234-81d7-960c-e36eed20d5a3,https://app.notion.com/3c07299b223481d7960ce36eed20d5a3,2026-08-18 22:04:20Z,,,,,Tips d’intégration,,45,Rédigé,,,,,,,"Quand quelqu’un dit « je veux intégrer l’IA », je commence désormais par demander quelle action doit changer. Produire un contenu relève du génératif. Choisir et orchestrer plusieurs actions peut devenir agentique. Exécuter une règle répétable relève de l’automatisation. Le bon outil vient après le travail à accomplir.",Quarantaine,,,,LinkedIn,Chatplace — mot-clé CARTE : Carte Notion « Quelle IA pour quelle tâche ? »,,,Carrousel,,,,"Génératif, agentique, automatisé : trois choses qu’on mélange"
3c07299b-2234-81e9-b6c9-d5b72e48828f,https://app.notion.com/3c07299b223481e9b6c9d5b72e48828f,2026-08-18 22:04:20Z,,,,,Difficulté d’intégration,,46,Rédigé,,,,,,,"Automatiser un processus instable ne crée pas un système. Cela transforme les exceptions non documentées en incidents récurrents. Mon ordre est désormais : exécuter manuellement, noter les écarts, stabiliser la séquence, automatiser le segment répétable et conserver une escalade humaine.",Quarantaine,,,,LinkedIn,Chatplace — mot-clé READY : Checklist Notion « Mon processus est-il prêt à être automatisé ? »,,,Post texte,,,,Automatiser un chaos ne crée pas un système
3c07299b-2234-81ee-8bfd-fc046890ec18,https://app.notion.com/3c07299b223481ee8bfdfc046890ec18,2026-08-18 22:04:20Z,,,,,Difficulté d’intégration,,47,Rédigé,,,,,,,"Si votre processus change à chaque fois, l’automatiser ne le rendra pas plus intelligent. Il rendra simplement le chaos plus rapide. Je commence désormais par observer les exceptions, stabiliser les règles et isoler la partie réellement répétable.",Quarantaine,,,,Instagram,Chatplace — mot-clé READY : Checklist Notion « Mon processus est-il prêt à être automatisé ? »,,,Vidéo Neva,,,,Automatiser un chaos ne crée pas un système
3c17299b-2234-814f-989b-e6689f4023e3,https://app.notion.com/3c17299b2234814f989be6689f4023e3,2026-08-19 13:04:02Z,,,,IA appliquée,Tips d’intégration,,51,Idée capturée,,,,,,,,Sujet approuvé,,,,,AI Operating System Starter Kit — vocabulaire minimum,,4,,,,,"Apprendre l’IA, c’est comme apprendre une langue étrangère."
3c17299b-2234-8162-84be-cb9ab5ee05de,https://app.notion.com/3c17299b2234816284becb9ab5ee05de,2026-08-19 13:04:02Z,,,,Product Builder,Insights,,49,Idée capturée,,,,,,,,Sujet approuvé,,,,,AI Operating System Starter Kit — radiographie du workflow,,2,,,,,"J’ai combiné l’incombinable sans pouvoir tout terminer — l’IA a changé ma capacité, pas mon cerveau."
